Timestamp_us,Break,Sync,ID,Data,Checksum
13481371,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13491352,,0x55,0x42,"0x00,0xFF",0xBD
13496353,,0x55,0xCA,"0xFC,0x7F",0xB8
13506325,,0x55,0x0D,"0x00,0x00",0xF2
13516325,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
13526340,,0x55,0xB1,"0x0C,0x00",0x42
13536355,,0x55,0xC4,,0x00
13556378,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
13566339,,0x55,0xE9,,0xFF
13571348,,0x55,0xAD,,0xFF
13576355,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
13586333,,0x55,0xCF,"0x0C,0xFE",0x25
13591348,,0x55,0x8E,"0x60,0x7F",0x91
13596332,,0x55,0xDD,"0x00,0xFC",0x25
13601375,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13611598,,0x55,0x80,,0x00
13621378,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
13631340,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13641378,,0x55,0x42,"0x00,0xFF",0xBD
13646348,,0x55,0xCA,"0xFC,0x7F",0xB8
13656324,,0x55,0x0D,"0x00,0x00",0xF2
13666325,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
13676355,,0x55,0xB1,"0x0C,0x00",0x42
13686325,,0x55,0xC4,,0x00
13706347,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
13716363,,0x55,0xE9,,0xFF
13721409,,0x55,0xAD,,0x00
13736355,,0x55,0xCF,"0x0C,0xFE",0x25
13741363,,0x55,0x8E,"0x60,0x7F",0x91
13746340,,0x55,0xDD,"0x00,0xFC",0x25
13751337,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13761363,,0x55,0x80,,0x00
13771340,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
13781371,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13791348,,0x55,0x42,"0x00,0xFF",0xBD
13796348,,0x55,0xCA,"0xFC,0x7F",0xB8
13806324,,0x55,0x0D,"0x00,0x00",0xF2
13816340,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
13826345,,0x55,0xB1,"0x0C,0x00",0x42
13836325,,0x55,0xC4,,0x00
13856348,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
13866325,,0x55,0xE9,,0x00
13876340,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
13886325,,0x55,0xCF,"0x04,0xFE",0x2D
13891348,,0x55,0x8E,"0x60,0x7F",0x91
13896347,,0x55,0xDD,"0x00,0xFC",0x25
13901371,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13911348,,0x55,0x80,,0x00
13921383,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
13931332,,0x55,0x1F,"0x7C,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCD
13941363,,0x55,0x42,"0xC8,0xFE",0xF5
13946337,,0x55,0xCA,"0xFC,0x7F",0xB8
