Timestamp_us,Break,Sync,ID,Data,Checksum
9944172,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
9954164,,0x55,0x42,"0x00,0xFF",0xBD
9959224,,0x55,0xCA,"0xFC,0x7F",0xB8
9969187,,0x55,0x0D,"0x00,0x00",0xF2
9979218,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
9989179,,0x55,0xB1,"0x0C,0x00",0x42
9999179,,0x55,0xC4,,0xFF
10009156,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
10019165,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
10029172,,0x55,0xE9,,0x00
10039164,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
10049179,,0x55,0xCF,"0x0C,0xFE",0x25
10054186,,0x55,0x8E,"0x60,0x7F",0x91
10059164,,0x55,0xDD,"0x00,0xFC",0x25
10064179,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
10074187,,0x55,0x80,"0x80,0xFF",0xFE
10079164,,0x55,0x32,"0x09,0x00",0xC4
10084187,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
10094179,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
10104187,,0x55,0x42,"0x00,0xFF",0xBD
10109164,,0x55,0xCA,"0xFC,0x7F",0xB8
10119156,,0x55,0x0D,"0x00,0x00",0xF2
10129156,,0x55,0xC1,"0x00,0x10,0x00,0xFF",0x2E
10139187,,0x55,0xB1,"0x0C,0x00",0x42
10149172,,0x55,0xC4,,0x00
10169172,,0x55,0x6A,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0
10179171,,0x55,0xE9,,0x00
10189172,,0x55,0x61,"0x20,0x44,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF",0x3A
10199179,,0x55,0xCF,"0x0C,0xFE",0x25
10204180,,0x55,0x8E,"0x60,0x7F",0x91
10209163,,0x55,0xDD,"0x00,0xFC",0x25
10214186,,0x55,0x1F,"0x7E,0xC9,0x00,0x0C,0x00,0xC0,0xFF,0xFF",0xCB
10224185,,0x55,0x80,"0x80,0xFF",0xFE
10229164,,0x55,0x32,"0x09,0x00",0xC4
10234186,,0x55,0x9C,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2
