ID,Extended,RTR,Length,Data,Count,Timestamps
672,0,0,6,"0,0,0,0,0,1,,",16,"0.527598,1.528297,2.528179,3.527522,4.527769,5.52806,6.527216,7.527209,8.52716,9.527134,10.527115,11.527066,12.527033,13.527025,14.526979,15.526949"
690,0,0,8,"255,255,255,0,20,4,255,0",79,"0.108661,0.308633,0.508643,0.708701,0.908651,1.308677,1.508681,1.708642,1.908712,2.108677,2.308611,2.508653,2.708638,2.908603,3.10878,3.30861,3.508632,3.70861,3.908601,4.108583,4.308601,4.508615,4.708618,4.908595,5.108659,5.308689,5.508671,5.708595,5.908646,6.1087,6.308608,6.508603,6.70861,6.908574,7.108619,7.308672,7.508725,7.708784,7.908834,8.108892,8.30895,8.508997,8.709051,8.909102,9.109161,9.309218,9.509262,9.709317,9.909373,10.109425,10.309478,10.508515,10.708594,10.9086,11.108617,11.308569,11.509182,11.708596,11.908524,12.108519,12.308528,12.508516,12.70857,12.908505,13.108488,13.30852,13.508492,13.70852,13.908491,14.108468,14.308532,14.50847,14.708487,14.908576,15.108571,15.308505,15.508529,15.709222,15.908579"
706,0,0,4,"19,136,147,0,,,,",44,"0.368446,1.368439,1.568558,2.368336,2.568579,2.968327,3.368315,3.568482,3.768451,3.969362,4.368456,4.968642,5.368777,5.768856,5.968966,6.168371,6.368997,6.769109,6.969188,7.368436,7.968503,8.16867,8.368611,8.968772,9.368901,9.56899,9.769016,10.569205,10.768361,10.968325,11.368249,11.568426,11.76819,11.968212,12.568449,12.768221,13.368259,13.568457,13.768281,13.968211,14.368218,14.96822,15.568406,15.968274"
706,0,0,4,"19,136,146,0,,,,",35,"0.168457,0.568801,0.768626,0.968465,1.16843,1.768371,1.968372,2.168334,2.768329,3.168354,4.168415,4.568524,4.768577,5.168709,5.568876,6.569066,7.169275,7.569353,7.768535,8.568672,8.768738,9.168921,10.1691,10.369156,11.168297,12.168242,12.368226,12.968257,13.168242,14.168181,14.568404,14.768173,15.168242,15.368247,15.768278"
706,0,0,4,"19,136,148,0,,,,",1,9.96905
707,0,0,8,"0,0,0,0,0,0,255,0",160,"0.058674,0.158689,0.259326,0.358798,0.459047,0.558731,0.659067,0.758708,0.859245,0.958779,1.059176,1.259236,1.358736,1.459039,1.558793,1.659395,1.7587,1.859541,1.958678,2.059208,2.158687,2.259512,2.358643,2.459588,2.558747,2.659592,2.758712,2.858609,2.958633,3.058649,3.158659,3.258635,3.358675,3.459592,3.558804,3.660385,3.758686,3.859878,3.958667,4.058639,4.158624,4.258681,4.358642,4.45917,4.558726,4.658698,4.758651,4.858635,4.958633,5.05858,5.158675,5.258654,5.358635,5.458637,5.558712,5.658651,5.758754,5.858654,5.958672,6.058661,6.158725,6.258704,6.358691,6.458623,6.558685,6.658796,6.758709,6.858657,6.958741,7.058601,7.158574,7.258606,7.358598,7.458544,7.558693,7.658625,7.758585,7.858604,7.958609,8.058572,8.158621,8.25858,8.358583,8.458591,8.558668,8.658587,8.758602,8.858553,8.958551,9.058581,9.158579,9.258527,9.358593,9.45855,9.558609,9.658575,9.758567,9.858519,9.958722,10.058631,10.158628,10.258602,10.358566,10.458511,10.558662,10.658626,10.758589,10.858631,10.958624,11.058582,11.158593,11.258545,11.358571,11.458562,11.558636,11.658517,11.758578,11.858524,11.958534,12.058543,12.158552,12.258485,12.358589,12.458528,12.558611,12.658598,12.758583,12.858485,12.958577,13.058516,13.1585,13.25861,13.35863,13.45857,13.558612,13.65852,13.758511,13.85851,13.958533,14.058473,14.15855,14.258492,14.358499,14.458505,14.558587,14.658511,14.758542,14.858486,14.958501,15.058506,15.158515,15.258458,15.358536,15.458476,15.558585,15.658572,15.758639,15.858598,15.958691,16.05861"
709,0,0,8,"1,91,1,29,5,0,0,0",8,"0.550748,2.550708,4.550725,6.550804,8.550933,10.551476,12.551659,14.551662"
710,0,0,8,"125,31,17,31,0,179,0,1",8,"0.569759,2.569537,4.569482,6.570024,8.570554,10.571083,12.570326,14.569362"
711,0,0,8,"1,0,0,0,0,0,0,0",8,"0.589795,2.58975,4.589799,6.589973,8.59008,10.590593,12.590651,14.591261"
720,0,0,6,"0,1,0,3,0,67,,",32,"0.075619,0.577492,1.579285,2.076162,2.577847,3.076422,3.577785,4.07674,4.578402,5.076963,5.578301,6.077232,6.579133,7.077544,7.579175,8.077768,8.580087,9.078044,9.580059,10.079029,10.580073,11.079107,11.580442,12.07899,12.580998,13.07943,13.58048,14.079391,14.581086,15.079663,15.58167,16.079928"
726,0,0,8,"0,0,0,0,0,0,0,0",81,"0.036877,0.236028,0.435914,0.636505,0.836075,1.036684,1.236099,1.43616,1.637048,1.836282,2.036555,2.236368,2.436421,2.637439,2.836532,3.03658,3.236637,3.436692,3.637257,3.837149,4.036851,4.236904,4.436955,4.639501,4.837074,5.037275,5.237178,5.437231,5.638189,5.837335,6.037384,6.23761,6.437497,6.638441,6.837677,7.037664,7.237716,7.438019,7.638017,7.837872,8.037974,8.237988,8.438035,8.63842,8.838146,9.038199,9.238321,9.438303,9.638939,9.838626,10.038466,10.238526,10.439643,10.639502,10.838696,11.03967,11.239604,11.439724,11.639854,11.839543,12.039647,12.239602,12.439587,12.639337,12.839552,13.039599,13.240565,13.440619,13.639962,13.839603,14.040653,14.240559,14.44058,14.640251,14.8414,15.040621,15.240571,15.440543,15.640087,15.840609,16.04081"
