ID,Extended,RTR,Length,Data,Count,Timestamps
706,0,0,4,"19,136,147,0,,,,",39,"0.115573,0.315626,0.9156,1.115555,1.315711,1.515727,1.715551,1.915637,2.515634,2.715601,3.115594,3.515568,4.115549,4.515671,5.115537,5.315578,5.515577,5.915571,6.11551,6.715508,7.51551,7.915635,9.115675,9.315488,10.915474,11.115956,11.315458,11.51547,11.91548,12.11544,12.315445,12.515437,12.915442,13.115419,13.515436,13.715397,13.915503,14.115454,14.315586"
706,0,0,4,"19,136,146,0,,,,",34,"0.515651,0.715672,2.115618,2.315598,2.915599,3.315581,3.715555,3.915612,4.31555,4.715534,4.91555,5.715555,6.315527,6.515529,6.915549,7.115502,7.315512,7.715606,8.11551,8.315504,8.515521,8.715544,8.915494,9.515482,9.715492,9.91552,10.115534,10.315564,10.515524,10.71552,12.715443,13.315437,14.515655,14.715566"
706,0,0,4,"19,136,148,0,,,,",1,11.715459
707,0,0,8,"0,0,0,0,0,0,255,0",149,"0.01039,0.106009,0.205997,0.306046,0.406037,0.506092,0.606042,0.70605,0.806039,0.906241,1.007543,1.106114,1.206015,1.305988,1.406003,1.50604,1.605955,1.706001,1.805995,1.906087,2.010315,2.10602,2.205977,2.306019,2.406034,2.506024,2.606007,2.706036,2.805987,2.906131,3.006471,3.106013,3.206021,3.305981,3.405972,3.506052,3.60596,3.705966,3.805952,3.90607,4.010409,4.106062,4.206043,4.30605,4.405994,4.506017,4.605952,4.705989,4.805987,4.906095,5.006503,5.10601,5.205969,5.306028,5.406001,5.505996,5.605956,5.706011,5.80594,5.906093,6.011367,6.10596,6.205936,6.305973,6.405946,6.505987,6.605927,6.70595,6.805928,6.906042,7.00594,7.105966,7.205924,7.306082,7.406038,7.506054,7.605997,7.70596,7.805922,7.906033,8.010401,8.105975,8.205914,8.305973,8.405968,8.505952,8.605971,8.705968,8.805895,8.906052,9.006491,9.105934,9.205909,9.305946,9.405944,9.506052,9.605938,9.705992,9.805943,9.906058,10.0094,10.106001,10.205962,10.306074,10.406042,10.506062,10.606084,10.706152,10.806078,10.906128,11.006018,11.105996,11.20595,11.305997,11.405972,11.505978,11.605944,11.706011,11.805923,11.906074,12.009303,12.105989,12.205947,12.306014,12.405963,12.505952,12.605956,12.706005,12.805951,12.906084,13.006429,13.105999,13.205966,13.305999,13.405971,13.505983,13.60595,13.706007,13.805911,13.906186,14.009409,14.106152,14.20602,14.30606,14.405998,14.505993,14.605996,14.706007,14.805899"
709,0,0,8,"1,91,1,29,5,0,0,0",7,"1.897967,3.897981,5.897934,7.897912,9.897922,11.89778,13.897747"
710,0,0,8,"125,31,17,31,0,179,0,1",7,"1.916598,3.916569,5.916533,7.916596,9.916479,11.916441,13.916464"
711,0,0,8,"1,0,0,0,0,0,0,0",7,"1.937154,3.937006,5.936942,7.936927,9.936935,11.937484,13.936811"
720,0,0,6,"0,1,0,3,0,67,,",30,"0.11851,0.616696,1.118396,1.618547,2.118936,2.617229,3.118948,3.617504,4.118828,4.617773,5.119379,5.618281,6.119406,6.618346,7.119877,7.618754,8.120516,8.618866,9.120828,9.619139,10.120833,10.619412,11.120789,11.619813,12.121877,12.619953,13.121683,13.620229,14.121933,14.620503"
726,0,0,8,"0,0,0,0,0,0,0,0",74,"0.177093,0.376791,0.576973,0.777807,0.977879,1.177763,1.377055,1.577121,1.777532,1.977896,2.177286,2.377521,2.577387,2.777439,2.977582,3.177556,3.377968,3.577883,3.777719,3.97788,4.177973,4.377877,4.57793,4.777985,4.978044,5.178471,5.378231,5.578214,5.778269,5.978809,6.178366,6.37843,6.578628,6.778532,6.978838,7.17875,7.378698,7.579089,7.778807,7.978865,8.178913,8.378996,8.579024,8.779078,8.979144,9.179184,9.379578,9.579676,9.780938,9.979404,10.179592,10.379518,10.579567,10.779632,10.979679,11.17973,11.379801,11.579842,11.779901,11.979965,12.180009,12.380064,12.580154,12.780172,12.980228,13.180316,13.380336,13.580383,13.780532,13.980492,14.180553,14.380691,14.580655,14.780715"
727,0,0,8,"32,0,0,0,0,0,0,0",74,"0.138704,0.3388,0.538815,0.739216,0.939253,1.138989,1.339039,1.539233,1.739141,1.939201,2.139398,2.339308,2.539364,2.739744,2.939682,3.139524,3.339605,3.539639,3.73969,3.939797,4.139803,4.339856,4.539958,4.739974,4.940025,5.140424,5.340127,5.540213,5.740348,5.940294,6.140355,6.340405,6.540463,6.740522,6.940763,7.14063,7.340695,7.540924,7.742387,7.940846,8.140922,8.340956,8.541012,8.741418,8.941124,9.141208,9.341782,9.541289,9.741345,9.941571,10.141449,10.341503,10.541561,10.741614,10.941682,11.14181,11.341777,11.541837,11.742164,11.941948,12.142003,12.342402,12.542109,12.742166,12.942455,13.142274,13.342329,13.542673,13.742439,13.94249,14.142547,14.342609,14.542669,14.742714"
