Section,ID,Extended,RTR,Length,Data,Count,Timestamps
IN_B_NOT_A,562,0,0,8,"255,79,0,255,0,0,0,0",70,"0.541191,0.741254,0.941086,1.141117,1.341107,1.541185,1.741199,1.940183,2.140158,2.340172,2.54029,2.740264,2.940182,3.140177,3.340166,3.540387,3.740302,3.940188,4.140199,4.3402,4.540307,4.740379,4.940126,5.140122,5.340101,5.540173,5.740197,5.940557,6.140098,6.340089,6.540146,6.740298,6.940091,7.14014,7.340079,7.540144,7.740187,7.940082,8.140068,8.340075,8.54015,8.740201,8.940124,9.140121,9.340137,9.540252,9.740367,9.94018,10.140154,10.340034,10.540103,10.740207,10.940033,11.140021,11.340052,11.540106,11.740166,11.940031,12.14005,12.340042,12.540158,12.740204,12.940026,13.140101,13.340098,13.540099,13.740245,13.94008,14.140075,14.340137"
IN_B_NOT_A,706,0,0,4,"19,136,145,0,,,,",1,0.729234
IN_B_NOT_A,736,0,0,8,"64,192,0,255,89,93,97,94",1,0.449384
IN_B_NOT_A,762,0,0,8,"0,0,100,24,0,0,200,0",1,8.899581
IN_B_NOT_A,762,0,0,8,"0,0,103,24,0,0,200,0",1,3.159407
IN_B_NOT_A,762,0,0,8,"0,0,104,24,0,0,200,0",1,11.840032
IN_B_NOT_A,762,0,0,8,"0,0,105,24,0,0,200,0",1,5.920473
IN_B_NOT_A,762,0,0,8,"0,0,107,24,0,0,200,0",1,8.880091
IN_B_NOT_A,762,0,0,8,"0,0,110,24,0,0,200,0",1,3.142088
IN_B_NOT_A,762,0,0,8,"0,0,113,24,0,0,200,0",2,"5.942461,11.860369"
IN_B_NOT_A,762,0,0,8,"0,0,114,24,0,0,200,0",1,8.860423
IN_B_NOT_A,762,0,0,8,"0,0,117,24,0,0,200,0",1,3.121572
IN_B_NOT_A,762,0,0,8,"0,0,121,24,0,0,200,0",2,"5.959435,11.880174"
IN_B_NOT_A,762,0,0,8,"0,0,122,24,0,0,200,0",1,8.84072
IN_B_NOT_A,762,0,0,8,"0,0,125,24,0,0,200,0",1,3.099512
IN_B_NOT_A,762,0,0,8,"0,0,128,24,0,0,200,0",2,"5.979952,11.899526"
IN_B_NOT_A,762,0,0,8,"0,0,131,24,0,0,200,0",1,8.822179
IN_B_NOT_A,762,0,0,8,"0,0,135,24,0,0,200,0",3,"3.079854,5.999545,11.920459"
IN_B_NOT_A,762,0,0,8,"0,0,138,24,0,0,200,0",1,8.799736
IN_B_NOT_A,762,0,0,8,"0,0,141,24,0,0,200,0",2,"6.020616,11.941007"
IN_B_NOT_A,762,0,0,8,"0,0,145,24,0,0,200,0",2,"3.059441,8.780717"
IN_B_NOT_A,762,0,0,8,"0,0,146,24,0,0,200,0",2,"6.040172,11.959419"
IN_B_NOT_A,762,0,0,8,"0,0,151,24,0,0,200,0",2,"6.059409,11.980122"
IN_B_NOT_A,762,0,0,8,"0,0,152,24,0,0,200,0",1,8.760134
IN_B_NOT_A,762,0,0,8,"0,0,155,24,0,0,200,0",2,"6.079927,11.999586"
IN_B_NOT_A,762,0,0,8,"0,0,156,24,0,0,200,0",1,3.040299
IN_B_NOT_A,762,0,0,8,"0,0,159,24,0,0,200,0",1,12.020465
IN_B_NOT_A,762,0,0,8,"0,0,160,24,0,0,200,0",1,6.099582
IN_B_NOT_A,762,0,0,8,"0,0,161,24,0,0,200,0",1,8.74117
IN_B_NOT_A,762,0,0,8,"0,0,163,24,0,0,200,0",2,"6.120645,12.04011"
IN_B_NOT_A,762,0,0,8,"0,0,164,24,0,0,200,0",1,3.021548
IN_B_NOT_A,762,0,0,8,"0,0,166,24,0,0,200,0",1,12.059404
IN_B_NOT_A,762,0,0,8,"0,0,167,24,0,0,200,0",2,"6.141065,8.720617"
IN_B_NOT_A,762,0,0,8,"0,0,169,24,0,0,200,0",1,12.080113
IN_B_NOT_A,762,0,0,8,"0,0,170,24,0,0,200,0",1,6.159398
IN_B_NOT_A,762,0,0,8,"0,0,172,24,0,0,200,0",2,"6.179993,12.099544"
IN_B_NOT_A,762,0,0,8,"0,0,173,24,0,0,200,0",1,8.699764
IN_B_NOT_A,762,0,0,8,"0,0,174,24,0,0,200,0",1,2.999807
IN_B_NOT_A,762,0,0,8,"0,0,175,24,0,0,200,0",2,"6.199518,12.120484"
IN_B_NOT_A,762,0,0,8,"0,0,177,24,0,0,200,0",2,"6.220607,12.141015"
IN_B_NOT_A,762,0,0,8,"0,0,179,24,0,0,200,0",2,"6.240098,12.159392"
IN_B_NOT_A,762,0,0,8,"0,0,180,24,0,0,200,0",1,8.680035
IN_B_NOT_A,762,0,0,8,"0,0,181,24,0,0,200,0",3,"2.979842,6.260083,12.180212"
IN_B_NOT_A,762,0,0,8,"0,0,183,24,0,0,200,0",2,"6.279944,12.199408"
IN_B_NOT_A,762,0,0,8,"0,0,184,24,0,0,200,0",2,"6.299565,12.220482"
IN_B_NOT_A,762,0,0,8,"0,0,185,24,0,0,200,0",1,8.65945
IN_B_NOT_A,762,0,0,8,"0,0,186,24,0,0,200,0",2,"6.320545,12.240061"
